Temp,A,B,C,D,E,F,G,H,R,I,S,J,T,U,V,W,K,L
35.0,865.22943,861.40765,2373.62622,967.02179,1491.97424,1870.82239,665.46954,780.98578,593.92761,171.38219,112.47112,85.55864,3356.63574,945.66162,267.91769,169.3436,179.15649,298.70786
35.33,864.40778,859.53094,2399.3335,969.77423,1511.70166,1865.94495,655.3252,767.17566,585.59174,170.23454,111.84972,84.60799,3383.36426,915.88513,270.46124,170.17371,180.95706,298.70786
35.67,857.83429,856.71588,2390.7644,967.02179,1508.77905,1861.06763,649.23859,759.55627,581.00708,169.46944,111.22834,84.60799,3376.68213,914.85834,269.6134,170.17371,180.05678,298.70786
34.67,855.36926,853.90088,2386.00366,963.35187,1505.12585,1857.58374,642.13751,752.41309,577.67273,168.32179,110.60695,83.65734,3364.43164,945.66162,269.6134,170.17371,180.05678,297.52719
35.0,801.96002,808.85992,2100.3689,887.20117,1371.41809,1807.4165,564.53326,679.07666,550.5813,162.96609,106.87862,83.65734,3218.53931,981.59882,273.00476,176.81464,177.35593,312.87582
35.33,856.19092,880.17474,2349.82324,1002.80341,1608.14661,1995.54382,584.82196,697.17267,564.7522,167.93924,113.0925,84.60799,3553.75757,1105.83887,300.98349,192.58684,191.76047,328.22446
35.67,799.495,815.42841,2185.10718,996.38104,1567.96118,1847.1322,658.36853,765.27081,614.35034,180.56337,118.68499,89.36125,3626.14673,1029.8573,295.04861,180.96521,194.46132,319.95981
35.0,813.46356,828.56531,2185.10718,971.60919,1524.85327,1842.25488,629.45709,722.88806,612.68317,175.97278,116.19944,87.45995,3512.55127,994.94696,290.80942,179.30499,189.05962,315.23715
35.33,810.17682,826.6886,2238.42578,966.10431,1524.85327,1845.04199,618.80554,707.64929,600.17944,174.06003,114.95667,86.50929,3490.27759,973.38464,291.65726,180.1351,189.05962,315.23715
35.67,809.35516,824.81195,2230.80884,966.10431,1521.20007,1844.34521,619.81995,707.1731,599.34589,174.44258,114.33527,86.50929,3491.39136,1000.08081,291.65726,180.1351,188.15933,315.23715
36.0,691.85486,695.31927,1879.47778,854.172,1297.62305,1580.27002,577.72089,692.41052,515.5708,154.93256,100.04337,80.80538,3148.37744,965.17041,271.30908,169.3436,171.05394,282.17856
36.0,691.85486,696.25763,1878.52576,855.08948,1297.62305,1578.87659,570.11261,687.64844,510.15253,152.63725,98.80059,79.85474,3117.19434,959.00977,270.46124,169.3436,170.15366,280.99789
35.67,685.28143,695.31927,1860.43555,837.65741,1269.85864,1532.19312,494.5372,611.93091,476.39246,136.18764,93.20811,75.10148,2816.50024,906.6441,253.50441,160.21233,159.35025,262.1073
35.67,749.3725,719.71643,1904.23291,911.97308,1349.49878,1626.25671,589.8941,706.6969,511.40292,144.22118,96.93643,79.85474,2934.55054,872.7605,257.74362,161.04243,153.04826,251.48132
35.67,650.77087,680.3056,1857.5791,858.7594,1302.73755,1570.51526,650.25305,734.79333,525.9906,155.69766,97.55782,77.95343,3019.19043,903.56378,258.59146,162.70267,161.15082,264.46863
36.0,647.48413,674.67554,1853.77063,851.41956,1282.27954,1562.85083,655.8324,745.26996,526.40741,157.22786,98.17921,78.90408,3089.35229,923.07257,262.83066,165.19302,164.75195,270.37195
36.0,716.50531,735.66846,2059.42773,907.38568,1389.6842,1768.39746,725.32123,815.74915,560.58429,172.14729,107.50002,84.60799,3545.96167,981.59882,290.80942,183.45557,187.25905,302.24985
35.67,755.94592,760.06561,1947.07813,922.06537,1342.19238,1753.0686,668.51288,784.79547,530.99213,157.22786,98.80059,82.70669,3176.21948,928.20642,270.46124,168.51349,167.4528,270.37195
36.0,686.10309,716.90137,1920.41882,895.4585,1377.26318,1688.26917,657.35406,745.26996,516.82123,159.14061,101.90752,81.75603,3273.10962,921.01898,276.39612,170.17371,167.4528,271.55261
35.67,712.39685,732.85339,1935.65271,902.79834,1395.5293,1715.44312,675.10669,776.69989,531.82568,162.201,103.77169,83.65734,3328.7937,957.98297,280.63531,173.49417,174.65508,280.99789
35.67,732.11719,735.66846,1923.27515,903.71582,1375.802,1670.84998,722.78516,830.03546,577.67273,162.201,105.63585,82.70669,3184.01514,945.66162,267.91769,166.85326,170.15366,268.01062
35.67,743.62073,744.11359,1967.07251,924.81781,1413.79541,1686.17883,646.70251,775.27124,555.58276,153.01981,104.39307,81.75603,3106.05762,918.96545,267.91769,165.19302,162.0511,258.56531
35.67,697.60663,709.39453,1891.85535,867.93414,1311.50537,1624.86328,530.04242,644.31323,473.05811,139.24803,92.58672,77.95343,2969.07471,885.08179,261.13498,164.3629,150.34741,259.74597
35.67,692.67657,718.77808,1932.79639,905.55078,1383.1084,1686.87561,661.4118,736.69818,515.5708,157.6104,101.90752,80.80538,3348.84009,925.1261,280.63531,172.66406,171.95422,270.37195
36.0,726.36542,731.91504,1970.88098,918.39545,1424.02441,1725.19788,693.36652,797.17694,542.24548,164.87885,105.01447,83.65734,3396.72827,959.00977,281.48315,173.49417,174.65508,275.09457
35.67,735.40393,718.77808,1890.9032,921.14789,1390.41479,1711.95923,741.55219,841.94073,577.25592,170.23454,109.36417,83.65734,3294.26978,917.93866,272.15692,166.85326,169.25337,263.28796
35.67,737.86896,722.53149,1916.61035,919.31293,1391.8761,1684.78528,718.72742,831.46411,578.08954,165.64395,108.1214,84.60799,3180.67407,895.34955,267.06985,164.3629,162.95139,257.38464
36.0,744.44238,740.36017,1957.55139,932.15759,1415.25671,1711.95923,693.87372,812.89191,583.091,163.34865,108.1214,85.55864,3233.01709,890.2157,273.00476,168.51349,165.65224,262.1073
35.67,718.97034,730.03833,1939.46118,897.29346,1372.14868,1672.94019,679.67163,788.60516,569.33691,158.75806,104.39307,83.65734,3156.1731,919.99225,267.91769,166.85326,165.65224,264.46863
35.67,659.80933,687.81244,1901.37646,836.73993,1317.35046,1603.96021,578.73535,670.02863,513.48688,143.45607,98.17921,77.00278,2916.73169,882.00146,255.20009,161.87256,161.15082,260.92664
